doc_id,class,page_file,source,split
524744030+-4030,form,datasets/raw/form/form_0090.png,rvlcdip,test
sroie_X51005577192,receipt,datasets/raw/receipt/receipt_0008.jpg,sroie,test
0060140654,invoice,datasets/raw/invoice/invoice_0043.png,rvlcdip,test
81761100,article,datasets/raw/article/article_0035.png,rvlcdip,test
sroie_X51005663277,receipt,datasets/raw/receipt/receipt_0142.jpg,sroie,test
tob02436.71,article,datasets/raw/article/article_0072.png,rvlcdip,test
2071275536,article,datasets/raw/article/article_0060.png,rvlcdip,test
sroie_X51006008089,receipt,datasets/raw/receipt/receipt_0120.jpg,sroie,test
2083779161,article,datasets/raw/article/article_0079.png,rvlcdip,test
2024683837,form,datasets/raw/form/form_0013.png,rvlcdip,test
sroie_X51006619343,receipt,datasets/raw/receipt/receipt_0062.jpg,sroie,test
00834379_4395,report,datasets/raw/report/report_0015.png,rvlcdip,test
505351783,letter,datasets/raw/letter/letter_0084.png,rvlcdip,test
2074413903,article,datasets/raw/article/article_0022.png,rvlcdip,test
2025029115-a,article,datasets/raw/article/article_0026.png,rvlcdip,test
501492772+-2772,letter,datasets/raw/letter/letter_0005.png,rvlcdip,test
sroie_X51007391372,receipt,datasets/raw/receipt/receipt_0130.jpg,sroie,test
12762180,letter,datasets/raw/letter/letter_0028.png,rvlcdip,test
sroie_X51006329399,receipt,datasets/raw/receipt/receipt_0015.jpg,sroie,test
509443632_509443634,letter,datasets/raw/letter/letter_0002.png,rvlcdip,test
2085569006_9007,article,datasets/raw/article/article_0030.png,rvlcdip,test
2077876420_6421,invoice,datasets/raw/invoice/invoice_0000.png,rvlcdip,test
2046776340_2046776347,report,datasets/raw/report/report_0049.png,rvlcdip,test
sroie_X51006619694,receipt,datasets/raw/receipt/receipt_0189.jpg,sroie,test
2026414245,letter,datasets/raw/letter/letter_0072.png,rvlcdip,test
2074073606,letter,datasets/raw/letter/letter_0055.png,rvlcdip,test
sroie_X51006008197,receipt,datasets/raw/receipt/receipt_0022.jpg,sroie,test
10022346_10022359,report,datasets/raw/report/report_0061.png,rvlcdip,test
2074110292,article,datasets/raw/article/article_0092.png,rvlcdip,test
50480093-0093,letter,datasets/raw/letter/letter_0039.png,rvlcdip,test
2030116126,form,datasets/raw/form/form_0095.png,rvlcdip,test
2057143842,report,datasets/raw/report/report_0074.png,rvlcdip,test
2026003547,letter,datasets/raw/letter/letter_0098.png,rvlcdip,test
0060034508,invoice,datasets/raw/invoice/invoice_0059.png,rvlcdip,test
sroie_X51007339146,receipt,datasets/raw/receipt/receipt_0140.jpg,sroie,test
70109398-9408,report,datasets/raw/report/report_0000.png,rvlcdip,test
2080712064,article,datasets/raw/article/article_0027.png,rvlcdip,test
sroie_X51007103691,receipt,datasets/raw/receipt/receipt_0159.jpg,sroie,test
sroie_X51007231370,receipt,datasets/raw/receipt/receipt_0059.jpg,sroie,test
0060088947,letter,datasets/raw/letter/letter_0075.png,rvlcdip,test
sroie_X51005806716,receipt,datasets/raw/receipt/receipt_0083.jpg,sroie,test
522488159+-8160,letter,datasets/raw/letter/letter_0014.png,rvlcdip,test
sroie_X51006387932,receipt,datasets/raw/receipt/receipt_0129.jpg,sroie,test
2041166632,letter,datasets/raw/letter/letter_0065.png,rvlcdip,test
sroie_X51006556838,receipt,datasets/raw/receipt/receipt_0038.jpg,sroie,test
2057776347,report,datasets/raw/report/report_0005.png,rvlcdip,test
506292144+-2144,invoice,datasets/raw/invoice/invoice_0050.png,rvlcdip,test
2505336064,report,datasets/raw/report/report_0038.png,rvlcdip,test
2029187335,letter,datasets/raw/letter/letter_0078.png,rvlcdip,test
sroie_X51006620189,receipt,datasets/raw/receipt/receipt_0087.jpg,sroie,test
sroie_X51008164510,receipt,datasets/raw/receipt/receipt_0078.jpg,sroie,test
2028999667,form,datasets/raw/form/form_0091.png,rvlcdip,test
81310561,form,datasets/raw/form/form_0092.png,rvlcdip,test
2029371469,invoice,datasets/raw/invoice/invoice_0077.png,rvlcdip,test
44007330,letter,datasets/raw/letter/letter_0095.png,rvlcdip,test
2501025900,article,datasets/raw/article/article_0024.png,rvlcdip,test
sroie_X51005719883,receipt,datasets/raw/receipt/receipt_0026.jpg,sroie,test
506186089_506186096,invoice,datasets/raw/invoice/invoice_0027.png,rvlcdip,test
sroie_X51006714065,receipt,datasets/raw/receipt/receipt_0161.jpg,sroie,test
50133568-3568,letter,datasets/raw/letter/letter_0024.png,rvlcdip,test
2505380424,report,datasets/raw/report/report_0062.png,rvlcdip,test
87431032_87431056,report,datasets/raw/report/report_0001.png,rvlcdip,test
94004389,letter,datasets/raw/letter/letter_0013.png,rvlcdip,test
2046295861_5862,article,datasets/raw/article/article_0078.png,rvlcdip,test
2501205174,article,datasets/raw/article/article_0053.png,rvlcdip,test
sroie_X51008164998,receipt,datasets/raw/receipt/receipt_0069.jpg,sroie,test
87444232_87444250,report,datasets/raw/report/report_0060.png,rvlcdip,test
2505153279,form,datasets/raw/form/form_0055.png,rvlcdip,test
sroie_X51006913070,receipt,datasets/raw/receipt/receipt_0094.jpg,sroie,test
2020126058,letter,datasets/raw/letter/letter_0008.png,rvlcdip,validation
2501329715,invoice,datasets/raw/invoice/invoice_0004.png,rvlcdip,test
2028874596,form,datasets/raw/form/form_0024.png,rvlcdip,test
1000127685,invoice,datasets/raw/invoice/invoice_0096.png,rvlcdip,test
