doc_id,class,file_name,split
invoice_0000,invoice,invoice_0000.txt,train
invoice_0001,invoice,invoice_0001.md,train
invoice_0002,invoice,invoice_0002.html,train
invoice_0003,invoice,invoice_0003.txt,validation
invoice_0004,invoice,invoice_0004.md,train
invoice_0005,invoice,invoice_0005.html,validation
invoice_0006,invoice,invoice_0006.txt,train
invoice_0007,invoice,invoice_0007.md,validation
invoice_0008,invoice,invoice_0008.html,validation
invoice_0009,invoice,invoice_0009.txt,validation
invoice_0010,invoice,invoice_0010.md,train
invoice_0011,invoice,invoice_0011.html,train
invoice_0012,invoice,invoice_0012.txt,train
invoice_0013,invoice,invoice_0013.md,train
invoice_0014,invoice,invoice_0014.html,validation
invoice_0015,invoice,invoice_0015.txt,train
invoice_0016,invoice,invoice_0016.md,test
invoice_0017,invoice,invoice_0017.html,train
invoice_0018,invoice,invoice_0018.txt,train
invoice_0019,invoice,invoice_0019.md,train
invoice_0020,invoice,invoice_0020.html,train
invoice_0021,invoice,invoice_0021.txt,train
invoice_0022,invoice,invoice_0022.md,train
invoice_0023,invoice,invoice_0023.html,validation
invoice_0024,invoice,invoice_0024.txt,train
invoice_0025,invoice,invoice_0025.md,test
invoice_0026,invoice,invoice_0026.html,train
invoice_0027,invoice,invoice_0027.txt,test
invoice_0028,invoice,invoice_0028.md,train
invoice_0029,invoice,invoice_0029.html,train
invoice_0030,invoice,invoice_0030.txt,train
invoice_0031,invoice,invoice_0031.md,validation
invoice_0032,invoice,invoice_0032.html,validation
invoice_0033,invoice,invoice_0033.txt,train
invoice_0034,invoice,invoice_0034.md,test
invoice_0035,invoice,invoice_0035.html,test
invoice_0036,invoice,invoice_0036.txt,train
invoice_0037,invoice,invoice_0037.md,test
invoice_0038,invoice,invoice_0038.html,train
invoice_0039,invoice,invoice_0039.txt,train
invoice_0040,invoice,invoice_0040.md,train
invoice_0041,invoice,invoice_0041.html,train
invoice_0042,invoice,invoice_0042.txt,train
invoice_0043,invoice,invoice_0043.md,train
invoice_0044,invoice,invoice_0044.html,train
invoice_0045,invoice,invoice_0045.txt,train
invoice_0046,invoice,invoice_0046.md,train
invoice_0047,invoice,invoice_0047.html,test
invoice_0048,invoice,invoice_0048.txt,train
invoice_0049,invoice,invoice_0049.md,train
invoice_0050,invoice,invoice_0050.html,train
invoice_0051,invoice,invoice_0051.txt,train
invoice_0052,invoice,invoice_0052.md,train
invoice_0053,invoice,invoice_0053.html,train
invoice_0054,invoice,invoice_0054.txt,test
invoice_0055,invoice,invoice_0055.md,train
invoice_0056,invoice,invoice_0056.html,train
invoice_0057,invoice,invoice_0057.txt,train
invoice_0058,invoice,invoice_0058.md,train
invoice_0059,invoice,invoice_0059.html,test
receipt_0000,receipt,receipt_0000.txt,train
receipt_0001,receipt,receipt_0001.md,train
receipt_0002,receipt,receipt_0002.html,train
receipt_0003,receipt,receipt_0003.txt,train
receipt_0004,receipt,receipt_0004.md,train
receipt_0005,receipt,receipt_0005.html,train
receipt_0006,receipt,receipt_0006.txt,validation
receipt_0007,receipt,receipt_0007.md,train
receipt_0008,receipt,receipt_0008.html,test
receipt_0009,receipt,receipt_0009.txt,train
